"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/30/2010","Counter Burg","Visa Purchase (Non-pin) The Counter Burgseattle Wa","27.60","debit","Uncategorized","CD","",""
"4/30/2010","Check 5064","Check   view-5064","2500.00","debit","Check","CD","",""
"4/30/2010","Safeway","Visa Purchase (Non-pin) Safeway Store00seattle Wa","28.05","debit","Groceries","CD","",""
"4/30/2010","Electronic Deposit Mars","Electronic Deposit Mars Hill Fellow","2029.75","credit","Income","Personal","",""
"4/30/2010","Bank Of America","Web Authorized Pmt Bank Of America","300.00","debit","Car Payment","Personal","",""
"4/29/2010","ATM Fee","Atm Withdrawal 24 Roy St Ste. 1seattle Waus1","2.00","debit","ATM Fee","CD","",""
"4/29/2010","ATM Withdrawal","Atm Withdrawal 24 Roy St Ste. 1seattle Waus1","60.00","debit","Cash & ATM","CD","",""
"4/29/2010","Diamond Parking","Visa Purchase (Non-pin) Diamond Parking Seattle Wa","5.00","debit","Home","Personal","",""
"4/29/2010","Starbucks","Visa Purchase (Non-pin) Starbucks Usa 00seattle Wa","7.37","debit","Coffee Shops","Personal","",""
"4/29/2010","Thai Ku","Visa Purchase (Non-pin) Thaiku Seattle Wa","23.25","debit","Restaurants","CD","",""
"4/29/2010","ATM Fee","Atm Fee 042910plusterm24 Roy St Ste. 1seattle Waus1","2.00","debit","ATM Fee","CD","",""
"4/29/2010","Aplus Net Fl","Visa Purchase (Non-pin) Aplus.net 877-275-8763fl","9.99","debit","Uncategorized","CD","",""
"4/29/2010","Electronic Deposit Mars","Electronic Deposit Mars Hill Fellow","49.50","credit","Income","Personal","",""
"4/28/2010","Check 5547","Check   view-5547","500.00","debit","Check","Personal","",""
"4/28/2010","Diamond Parking","Visa Purchase (Non-pin) Diamond Parking Seattle Wa","5.00","debit","Home","Personal","",""
"4/28/2010","Polyclinic","Visa Purchase (Non-pin) Polyclinic Northseattle Wa","20.00","debit","Health & Fitness","Personal","",""
"4/28/2010","Lancer Woodla","Visa Purchase (Non-pin) Lancer At Woodlaseattle Wa","11.00","debit","Uncategorized","Personal","",""
"4/28/2010","Pho Saigon","Visa Purchase (Non-pin) Pho Saigon Seattle Wa","26.20","debit","Restaurants","CD","",""
"4/28/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"4/27/2010","Safeway","Purchase With Pin Safeway Store 0seattle Wa","52.40","debit","Groceries","Personal","",""
"4/27/2010","Brouwers Cafe","Visa Purchase (Non-pin) Brouwer's Cafe Seattle Wa","74.85","debit","Restaurants","CD","",""
"4/27/2010","ATM Deposit","Atm Deposit Us Bank Westminsseattle Waus1","2750.00","credit","Income","CD","",""
"4/27/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","489.05","credit","Income","CD","",""
"4/26/2010","iTunes","Visa Purchase (Non-pin) Apl*itunes 866-712-7753ca","1.08","debit","Music","Personal","",""
"4/26/2010","Toys ""R"" Us","Purchase With Pin Toys R Us Seattle Wa","63.41","debit","Toys","Personal","",""
"4/26/2010","Shell","Purchase With Pin Shell Service Stseattle Wa","51.17","debit","Gas & Fuel","Personal","",""
"4/26/2010","Check 1041","Check   view-1041","4871.00","debit","Check","CD","",""
"4/26/2010","Jones Marke Wa","Visa Purchase (Non-pin) Jones Marke 206-794-4458wa","79.07","debit","Groceries","CD","",""
"4/26/2010","Jones Marke Wa","Visa Purchase (Non-pin) Jones Marke 425-502-5515wa","0.86","debit","Groceries","CD","",""
"4/26/2010","Laughing Ladies Wa","Visa Purchase (Non-pin) Laughing Ladies 206-3622026 Wa","3.51","debit","Coffee Shops","CD","",""
"4/26/2010","Non Pin Return","Visa (Non-pin) Return Jones Marke 4255025515 Wa","79.07","credit","Income","CD","",""
"4/26/2010","Ballard Mkt Thri","Visa Purchase (Non-pin) Ballard Mkt Thriseattle Wa","5.46","debit","Uncategorized","CD","",""
"4/26/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","223.01","credit","Income","CD","",""
"4/23/2010","Pacific Topsoils","Visa Purchase (Non-pin) Pacific Topsoilsseattle Wa","17.18","debit","Lawn & Garden","Personal","",""
"4/23/2010","GoDaddy.com","Visa Purchase (Non-pin) Paypal *godaddyc402-935-7733az","225.97","debit","Business Services","CD","",""
"4/23/2010","Skype","Visa Purchase (Non-pin) Www.skype.com Internet","3.00","debit","Home Phone","CD","",""
"4/23/2010","ATM Deposit","Atm Deposit Us Bank Westminsseattle Waus1","1875.00","credit","Income","CD","",""
"4/23/2010","Staples","Visa Purchase (Non-pin) Staples 00seattle Wa","27.90","debit","Office Supplies","CD","",""
"4/22/2010","Deposit View","Deposit   view","2828.00","credit","Income","CD","",""
"4/22/2010","Southwest","Visa Purchase (Non-pin) Southwestair5262dallas Tx","79.70","debit","Air Travel","CD","",""
"4/22/2010","Southwest","Visa Purchase (Non-pin) Southwestair5262dallas Tx","79.70","debit","Air Travel","CD","",""
"4/22/2010","Southwest","Visa Purchase (Non-pin) Southwestair5262dallas Tx","79.70","debit","Air Travel","CD","",""
"4/22/2010","Ballard Mkt Thri","Visa Purchase (Non-pin) Ballard Mkt Thriseattle Wa","7.46","debit","Uncategorized","CD","",""
"4/22/2010","Southwest","Visa Purchase (Non-pin) Southwestair5262dallas Tx","79.70","debit","Air Travel","CD","",""
"4/22/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","37.56","credit","Income","CD","",""
"4/21/2010","Chase Home Finance","Web Authorized Pmt Chase Home Finan","903.90","debit","Mortgage & Rent","Personal","",""
"4/21/2010","Home Depot","Purchase With Pin The Home Depot 4seattle Wa","18.02","debit","Home Improvement","Personal","",""
"4/21/2010","Ballard Loft","Visa Purchase (Non-pin) Ballard Loft Seattle Wa","23.17","debit","Uncategorized","CD","",""
"4/21/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","154.93","credit","Income","CD","",""
"4/20/2010","Thai Ku","Visa Purchase (Non-pin) Thaiku Seattle Wa","9.35","debit","Restaurants","CD","",""
"4/20/2010","Shoeboxed Nc","Visa Purchase (Non-pin) Shoeboxed Inc 704-3404768 Nc","19.95","debit","Clothing","CD","",""
"4/20/2010","USPS","Visa Purchase (Non-pin) Usps Change Of66800-2383150 Tn","1.00","debit","Shipping","CD","",""
"4/20/2010","Perflect Nv","Visa Purchase (Non-pin) Perflect 888-752-3076nv","159.00","debit","Uncategorized","CD","",""
"4/20/2010","Transfer from CD","Internet Banking Transfer Deposit 000153559713075","900.00","credit","Transfer","Personal","",""
"4/20/2010","Transfer to Personal","Internet Banking Transfer Withdrawal 000153556271499","900.00","debit","Transfer","CD","",""
"4/20/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.56","credit","Income","CD","",""
"4/19/2010","Transfer from Personal","Internet Payment Thank You","74.12","credit","Credit Card Payment","Personal CC1","",""
"4/19/2010","Broadview Brinks Draft","Broadview/brinks Draft 800-445-0872 Tx","36.99","debit","Brinks","Personal CC1","",""
"4/19/2010","Nw Riders Wa","Visa Purchase (Non-pin) Nw Riders 425-463-5553wa","1.97","debit","Uncategorized","Personal","",""
"4/19/2010","Non Pin Return","Visa (Non-pin) Return Nw Riders 425-463-5553wa","1.97","credit","Income","Personal","",""
"4/19/2010","Diamond Parking","Visa Purchase (Non-pin) Diamond Parking Seattle Wa","5.00","debit","Home","Personal","",""
"4/19/2010","Firehouse Coffee","Visa Purchase (Non-pin) Firehouse Coffeeseattle Wa","30.08","debit","Restaurants","CD","",""
"4/19/2010","ATM Deposit","Atm Deposit Us Bank Westminsseattle Waus1","828.00","credit","Income","CD","",""
"4/19/2010","Firehouse Coffee","Visa Purchase (Non-pin) Firehouse Coffeeseattle Wa","5.00","debit","Restaurants","CD","",""
"4/19/2010","Transfer to Personal CC1","Internet Banking Payment To Credit Card 1007","74.12","debit","Credit Card Payment","Personal","",""
"4/16/2010","7-Eleven","Purchase With Pin 7-eleven Seattle Wa","55.84","debit","Fast Food","Personal","",""
"4/16/2010","Check 5550","Check   view-5550","81.20","debit","Check","Personal","",""
"4/16/2010","Check 5063","Check   view-5063","2500.00","debit","Check","CD","",""
"4/16/2010","La Carta De Oaxaca","Visa Purchase (Non-pin) La Carta De Oaxaseattle Wa","50.40","debit","Restaurants","CD","",""
"4/16/2010","Verite Coffee","Visa Purchase (Non-pin) Verite Coffee Anseattle Wa","4.53","debit","Food & Dining","CD","",""
"4/15/2010","ATM Withdrawal","Atm Withdrawal Us Bank Westminsseattle Waus1","700.00","debit","Cash & ATM","Personal","",""
"4/15/2010","Netflix","Visa Purchase (Non-pin) Nfi*www.netflix.netflix.com Ca","9.84","debit","Movies & DVDs","Personal","",""
"4/15/2010","Arco","Purchase With Pin Arco Paypoint Seattle Wa","55.46","debit","Gas & Fuel","Personal","",""
"4/15/2010","ATM Deposit","Atm Deposit Us Bank Westminsseattle Waus1","698.00","credit","Income","CD","",""
"4/15/2010","Check 1038","Check   view-1038","236.00","debit","Check","CD","",""
"4/15/2010","Balance Transfer Interest","BALANCE TRANSFER INTEREST","75.37","debit","Transfer","Chase CARD","",""
"4/15/2010","North Pacific In","Electronic Withdrawal North Pacific In","123.99","debit","Uncategorized","Personal","",""
"4/15/2010","Glaic","Electronic Withdrawal Glaic","18.55","debit","Life Insurance","Personal","",""
"4/15/2010","Electronic Deposit Mars","Electronic Deposit Mars Hill Fellow","2029.75","credit","Income","Personal","",""
"4/15/2010","AT&T","Web Authorized Pmt At&t","138.15","debit","Mobile Phone","CD","",""
"4/15/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.07","credit","Income","CD","",""
"4/14/2010","Ram Restaurant","Visa Purchase (Non-pin) Ram Restaurant Bseattle Wa","7.00","debit","Restaurants","CD","",""
"4/14/2010","Check 5060","Check   view-5060","500.00","debit","Check","CD","",""
"4/14/2010","Pacific Pediatrics","Visa Purchase (Non-pin) Pacific Pediatriedmonds Wa","74.00","debit","Doctor","CD","",""
"4/14/2010","Ballard Loft","Visa Purchase (Non-pin) Ballard Loft Seattle Wa","19.83","debit","Uncategorized","CD","",""
"4/14/2010","Transfer to Chase CARD","Electronic Withdrawal Chase","191.00","debit","Credit Card Payment","Personal","",""
"4/14/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","526.22","credit","Income","CD","",""
"4/13/2010","Finance Charge Interest","***finance Charge***interest","32.01","debit","Finance Charge","CD Credit","",""
"4/13/2010","Perflect Nv","Visa Purchase (Non-pin) Perflect 8887523076 Nv","159.00","debit","Uncategorized","CD","",""
"4/13/2010","VistaPrint","Visa Purchase (Non-pin) Vistapr*vistapri866-893-6743ma","103.69","debit","Printing","CD","",""
"4/13/2010","Tb","Visa Purchase (Non-pin) Tb # 22599 Seattle Wa","7.57","debit","Uncategorized","CD","",""
"4/13/2010","Red Mango Univer","Visa Purchase (Non-pin) Red Mango-universeattle Wa","4.33","debit","Uncategorized","CD","",""
"4/13/2010","Funtasia","Visa Purchase (Non-pin) Funtasia Inc Edmonds Wa","15.33","debit","Restaurants","CD","",""
"4/12/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","4.37","debit","Movies & DVDs","Personal CC1","",""
"4/12/2010","Glaic","Electronic Withdrawal Glaic","12.08","debit","Life Insurance","Personal","",""
"4/12/2010","Ppdacct","Electronic Withdrawal 100412payment 5xxxxxxxxxxxx0632369 Ppdacct 0","446.98","debit","Uncategorized","CD","",""
"4/12/2010","Jack in the Box","Visa Purchase (Non-pin) Jack In The Box Seattle Wa","10.31","debit","Fast Food","CD","",""
"4/12/2010","Tic TAC","Visa Purchase (Non-pin) Pho Tic Tac Seattle Wa","12.65","debit","Restaurants","CD","",""
"4/12/2010","Check 1040","Check   view-1040","151.75","debit","Check","CD","",""
"4/12/2010","Kids Club","Visa Purchase (Non-pin) Kids Club 206-5242553 Wa","30.00","debit","Shopping","CD","",""
"4/12/2010","Subway","Visa Purchase (Non-pin) Subway 00seattle Wa","49.50","debit","Fast Food","CD","",""
"4/12/2010","QFC","Visa Purchase (Non-pin) Qfc #5858 Seattle Wa","5.21","debit","Groceries","CD","",""
"4/12/2010","Kids Club","Visa Purchase (Non-pin) Kids Club 206-5242553 Wa","4.05","debit","Shopping","CD","",""
"4/12/2010","Codero Ks","Visa Purchase (Non-pin) Codero 913-8907700 Ks","129.98","debit","Uncategorized","CD","",""
"4/12/2010","Perflect Nv","Visa Purchase (Non-pin) Perflect 888-752-3076nv","168.00","debit","Uncategorized","CD","",""
"4/12/2010","Comcast","Visa Purchase (Non-pin) Comcast Cable Co800-comcast Wa","61.65","debit","Television","CD","",""
"4/12/2010","Apple","Visa Purchase (Non-pin) Apple Store #r07seattle Wa","75.56","debit","Electronics & Software","CD","",""
"4/12/2010","Transfer from Personal","AUTOMATIC PAYMENT - THANK","191.00","credit","Credit Card Payment","Chase CARD","",""
"4/08/2010","Teriyaki Time","Visa Purchase (Non-pin) Teriyaki Time 206-3067227 Wa","37.16","debit","Restaurants","CD","",""
"4/08/2010","Dri Parallels Drelement","Visa Purchase (Non-pin) Dri*parallels*drelement5.infmn","49.99","debit","Uncategorized","CD","",""
"4/08/2010","Kwanjai Thai","Visa Purchase (Non-pin) Kwanjai Thai Cuiseattle Wa","30.50","debit","Restaurants","CD","",""
"4/08/2010","Dri Paralle Ext","Visa Purchase (Non-pin) Dri*paralle Ext Element5.infmn","6.99","debit","Uncategorized","CD","",""
"4/08/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.56","credit","Income","CD","",""
"4/07/2010","Non Pin Return","Visa (Non-pin) Return Nw Riders 425-463-5553wa","1.00","credit","Income","Personal","",""
"4/07/2010","Check 5539","Check   view-5539","120.00","debit","Check","Personal","",""
"4/07/2010","Fandango","Visa Purchase (Non-pin) Fandango.com Fandango.comin","21.00","debit","Movies & DVDs","Personal","",""
"4/07/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.56","credit","Income","CD","",""
"4/07/2010","Ballard Loft","Visa Purchase (Non-pin) Ballard Loft Seattle Wa","20.76","debit","Uncategorized","CD","",""
"4/07/2010","J Efax Plus","Visa Purchase (Non-pin) J2 *efax Plus Se323-817-3205ca","16.95","debit","Uncategorized","CD","",""
"4/06/2010","Nw Riders Wa","Visa Purchase (Non-pin) Nw Riders 425-463-5553wa","1.00","debit","Uncategorized","Personal","",""
"4/06/2010","Safeway","Purchase With Pin Safeway Store 0seattle Wa","16.35","debit","Groceries","Personal","",""
"4/06/2010","Check 5062","Check   view-5062","1640.00","debit","Check","CD","",""
"4/06/2010","Ndsite Freshboo","Visa Purchase (Non-pin) 2ndsite Freshboo416-481-6946on","44.88","debit","Uncategorized","CD","",""
"4/06/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"4/05/2010","Th Ave","Purchase With Pin 17230 15th Ave. Shoreline Wa","48.60","debit","Gas & Fuel","Personal","",""
"4/05/2010","Th Ave","Purchase With Pin 17230 15th Ave. Shoreline Wa","54.00","debit","Gas & Fuel","Personal","",""
"4/05/2010","Safeway","Visa Purchase (Non-pin) Safeway Store 00shoreline Wa","48.42","debit","Groceries","CD","",""
"4/05/2010","Amazon","Visa Purchase (Non-pin) Amzn Pmts 866-749-7545wa","29.84","debit","Shopping","CD","",""
"4/05/2010","Check 1039","Check   view-1039","2500.00","debit","Check","CD","",""
"4/05/2010","Teriyaki Time","Visa Purchase (Non-pin) Teriyaki Time 206-3067227 Wa","24.20","debit","Restaurants","CD","",""
"4/05/2010","Thai Ku","Visa Purchase (Non-pin) Thaiku Seattle Wa","12.73","debit","Restaurants","CD","",""
"4/02/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","4.37","debit","Movies & DVDs","Personal CC1","",""
"4/02/2010","Desert Sun Tanning","Visa Purchase (Non-pin) Desert Sun Tanni206-546-8267wa","13.75","debit","Personal Care","Personal","",""
"4/02/2010","Starbucks","Visa Purchase (Non-pin) Starbucks Usa 00seattle Wa","15.01","debit","Coffee Shops","CD","",""
"4/02/2010","Media Temple","Visa Purchase (Non-pin) Media Temple 877-578-4000ca","52.00","debit","Business Services","CD","",""
"4/02/2010","QFC","Visa Purchase (Non-pin) Qfc #5858 Seattle Wa","14.76","debit","Groceries","CD","",""
"4/02/2010","Bkcd Processing","Electronic Withdrawal Bkcd Processing","27.24","debit","Uncategorized","CD","",""
"4/02/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"4/02/2010","Payment Gateway","Electronic Withdrawal Authnet Gateway","53.00","debit","Business Services","CD","",""
"4/01/2010","Ichi Bento","Visa Purchase (Non-pin) Ichi Bento Teriyshoreline Wa","19.43","debit","Restaurants","Personal","",""
"4/01/2010","ATM Withdrawal","Atm Withdrawal Us Bank Westminsseattle Waus1","660.00","debit","Cash & ATM","Personal","",""
"4/01/2010","Bank Of America","Web Authorized Pmt Bank Of America","300.00","debit","Car Payment","Personal","",""
"4/01/2010","Google","Visa Purchase (Non-pin) Google*adws40643cc@google.coca","44.68","debit","Advertising","CD","",""
"4/01/2010","Bldg","Visa Purchase (Non-pin) Google *bldg Blkgoogle.com/cca","25.00","debit","Legal","CD","",""
"4/01/2010","Taco Time","Visa Purchase (Non-pin) Taco Time Edmondedmonds Wa","5.76","debit","Restaurants","CD","",""
"4/01/2010","Taco Time","Visa Purchase (Non-pin) Taco Time Edmondedmonds Wa","11.82","debit","Restaurants","CD","",""
"4/01/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"3/31/2010","Check 5541","Check   view-5541","500.00","debit","Check","Personal","",""
"3/31/2010","Ballard Loft","Visa Purchase (Non-pin) Ballard Loft Seattle Wa","24.35","debit","Uncategorized","CD","",""
"3/31/2010","Dropbox Ca","Visa Purchase (Non-pin) Dropbox 888-446-8396ca","9.99","debit","Uncategorized","CD","",""
"3/31/2010","Electronic Deposit Mars","Electronic Deposit Mars Hill Fellow","2029.75","credit","Income","Personal","",""
"3/30/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","48.90","credit","Income","CD","",""
"3/30/2010","Bastille Cafe","Visa Purchase (Non-pin) Bastille Cafe & Seattle Wa","100.00","debit","Restaurants","CD","",""
"3/29/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","16.40","debit","Movies & DVDs","Personal CC1","",""
"3/29/2010","Check 5546","Check   view-5546","600.00","debit","Check","Personal","",""
"3/29/2010","Dropbox Ca","Visa Purchase (Non-pin) Paypal *dropbox 402-935-7733ca","99.00","debit","Uncategorized","CD","",""
"3/29/2010","Yo Swirl","Visa Purchase (Non-pin) Yo Swirl Seattle Wa","6.55","debit","Uncategorized","CD","",""
"3/29/2010","Mr Gyros","Visa Purchase (Non-pin) Mr Gyros 206-7849806 Wa","85.15","debit","Restaurants","CD","",""
"3/29/2010","Verite Coffee","Visa Purchase (Non-pin) Verite Coffee Anseattle Wa","11.31","debit","Food & Dining","CD","",""
"3/29/2010","Express","Visa Purchase (Non-pin) Express # 0277 Seattle Wa","161.79","debit","Shopping","CD","",""
"3/29/2010","Transfer from CD","Internet Banking Transfer Deposit 000153559713075","310.00","credit","Transfer","Personal","",""
"3/29/2010","Transfer to Personal","Internet Banking Transfer Withdrawal 000153556271499","310.00","debit","Transfer","CD","",""
"3/29/2010","Transfer from CD","Internet Banking Transfer Deposit 000153559713075","300.00","credit","Transfer","Personal","",""
"3/29/2010","Transfer to Personal","Internet Banking Transfer Withdrawal 000153556271499","300.00","debit","Transfer","CD","",""
"3/26/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","5.45","debit","Movies & DVDs","Personal CC1","",""
"3/26/2010","Check 5545","Check   view-5545","81.29","debit","Check","Personal","",""
"3/26/2010","Aplus Net Fl","Visa Purchase (Non-pin) Aplus.net 877-275-8763fl","9.99","debit","Uncategorized","CD","",""
"3/26/2010","Istock Internat Il","Visa Purchase (Non-pin) Istock *internat403-265-3062il","18.25","debit","Uncategorized","CD","",""
"3/26/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"3/25/2010","Crate & Barrel","Purchase With Pin Crate&barrel-452seattle Wa","17.08","debit","Furnishings","Personal","",""
"3/25/2010","Check 5061","Check   view-5061","537.30","debit","Check","CD","",""
"3/25/2010","Thai Fusion Rest","Visa Purchase (Non-pin) Thai Fusion Restseattle Wa","8.04","debit","Restaurants","CD","",""
"3/25/2010","Perflect Nv","Visa Purchase (Non-pin) Perflect 888-752-3076nv","159.00","debit","Uncategorized","CD","",""
"3/25/2010","Kwanjai Thai","Visa Purchase (Non-pin) Kwanjai Thai Cuiseattle Wa","20.00","debit","Restaurants","CD","",""
"3/25/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","97.81","credit","Income","CD","",""
"3/24/2010","Seattle Park","Visa Purchase (Non-pin) Seattle 684-parkseattle Wa","1.50","debit","Uncategorized","Personal","",""
"3/24/2010","Ballard Loft","Visa Purchase (Non-pin) Ballard Loft Seattle Wa","28.85","debit","Uncategorized","CD","",""
"3/24/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.07","credit","Income","CD","",""
"3/23/2010","Ccf Childfund In","Visa Purchase (Non-pin) Ccf*childfund In800-776-6767va","24.00","debit","Kids","Personal","",""
"3/23/2010","Arco","Purchase With Pin Arco Paypoint Seattle Wa","52.81","debit","Gas & Fuel","Personal","",""
"3/23/2010","QFC","Visa Purchase (Non-pin) Qfc #5858 Seattle Wa","31.72","debit","Groceries","CD","",""
"3/23/2010","QFC","Visa Purchase (Non-pin) Qfc #5858 Seattle Wa","2.52","debit","Groceries","CD","",""
"3/23/2010","Toys ""R"" Us","Visa Purchase (Non-pin) Toys R Us #8025 Seattle Wa","31.61","debit","Toys","CD","",""
"3/23/2010","Red Robin","Visa Purchase (Non-pin) Red Robin #12 Seattle Wa","70.74","debit","Restaurants","CD","",""
"3/23/2010","Check 1035","Check   view-1035","6382.00","debit","Check","CD","",""
"3/23/2010","Check 1037","Check   view-1037","177.00","debit","Check","CD","",""
"3/23/2010","Skype","Visa Purchase (Non-pin) Www.skype.com Internet","3.00","debit","Home Phone","CD","",""
"3/22/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","3.27","debit","Movies & DVDs","Personal CC1","",""
"3/22/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","3.27","debit","Movies & DVDs","Personal CC1","",""
"3/22/2010","Check 5540","Check   view-5540","50.00","debit","Check","Personal","",""
"3/22/2010","iTunes","Visa Purchase (Non-pin) Apl*itunes 866-712-7753ca","14.22","debit","Music","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","6.04","debit","Uncategorized","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","2.29","debit","Uncategorized","Personal","",""
"3/22/2010","Desert Sun","Visa Purchase (Non-pin) Desert Sun Tanniseattle Wa","35.99","debit","Personal Care","Personal","",""
"3/22/2010","Check 5543","Check   view-5543","182.21","debit","Check","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","0.65","debit","Uncategorized","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","2.18","debit","Uncategorized","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","2.18","debit","Uncategorized","Personal","",""
"3/22/2010","7-Eleven","Purchase With Pin 7-eleven Seattle Wa","56.25","debit","Fast Food","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","0.65","debit","Uncategorized","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","0.65","debit","Uncategorized","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","2.18","debit","Uncategorized","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","0.65","debit","Uncategorized","Personal","",""
"3/22/2010","Oceanshores Wa","Visa Purchase (Non-pin) Oceanshores 369-289-0532wa","2.18","debit","Uncategorized","Personal","",""
"3/22/2010","Safeway","Visa Purchase (Non-pin) Safeway Store00seattle Wa","11.83","debit","Groceries","CD","",""
"3/22/2010","QFC","Visa Purchase (Non-pin) Qfc #5858 Seattle Wa","45.75","debit","Groceries","CD","",""
"3/22/2010","Laughing Ladies Wa","Visa Purchase (Non-pin) Laughing Ladies 206-3622026 Wa","2.97","debit","Coffee Shops","CD","",""
"3/22/2010","ATM Deposit","Atm Deposit Us Bank Westminsseattle Waus1","1789.00","credit","Income","CD","",""
"3/22/2010","Thai Ku","Visa Purchase (Non-pin) Thaiku Seattle Wa","64.95","debit","Restaurants","CD","",""
"3/19/2010","Old Navy","Purchase With Pin Old Navy Usa Lynnwood Wa","137.97","debit","Clothing","Personal","",""
"3/19/2010","Shoeboxed Nc","Visa Purchase (Non-pin) Shoeboxed Inc 704-3404768 Nc","19.95","debit","Clothing","CD","",""
"3/19/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","75.12","credit","Income","CD","",""
"3/18/2010","City","Web Authorized Pmt City Of Seattle","537.08","debit","Uncategorized","Personal","",""
"3/18/2010","Noah's Bagels","Visa Purchase (Non-pin) Noah's Ny Bagelsseattle Wa","2.08","debit","Restaurants","CD","",""
"3/18/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"3/17/2010","Transfer from CD","Internet Payment Thank You","2000.00","credit","Credit Card Payment","CD Credit","",""
"3/17/2010","Great Wolf Food","Visa Purchase (Non-pin) Great Wolf Food Grand Mound Wa","14.85","debit","Food & Dining","Personal","",""
"3/17/2010","Subway","Visa Purchase (Non-pin) Subway 00kent Wa","1.54","debit","Fast Food","Personal","",""
"3/17/2010","Non Pin Return","Visa (Non-pin) Return Great Wolf Gift Grand Mound Wa","5.00","credit","Income","Personal","",""
"3/17/2010","Great Wolf Gift","Visa Purchase (Non-pin) Great Wolf Gift Grand Mound Wa","10.25","debit","Gift","Personal","",""
"3/17/2010","Great Wolf Gift","Visa Purchase (Non-pin) Great Wolf Gift Grand Mound Wa","2.56","debit","Gift","Personal","",""
"3/17/2010","Great Wolf Lodgegrand","Visa Purchase (Non-pin) Great Wolf Lodgegrand Mound Wa","101.50","debit","Uncategorized","Personal","",""
"3/17/2010","Subway","Visa Purchase (Non-pin) Subway 00kent Wa","12.14","debit","Fast Food","Personal","",""
"3/17/2010","Great Wolf Gift","Visa Purchase (Non-pin) Great Wolf Gift Grand Mound Wa","5.82","debit","Gift","CD","",""
"3/17/2010","Great Wolf Gift","Visa Purchase (Non-pin) Great Wolf Gift Grand Mound Wa","7.19","debit","Gift","CD","",""
"3/17/2010","Transfer from Personal Second","Internet Banking Transfer Deposit 000153559714024","500.00","credit","Transfer","Personal","",""
"3/17/2010","Transfer from CD","Internet Banking Transfer Deposit 000153559713075","97.79","credit","Transfer","Savings","",""
"3/17/2010","Transfer to Savings","Internet Banking Transfer Withdrawal 000153556271507","97.79","debit","Transfer","CD","",""
"3/17/2010","Internet Banking Advance","Internet Banking Advance From Credit Line 3000632369","2000.00","credit","Coyne Design","CD","",""
"3/17/2010","Transfer from Personal Second","Internet Banking Transfer Deposit 000153559714024","650.00","credit","Transfer","CD","",""
"3/17/2010","Transfer to CD Credit","Internet Banking Payment To Credit Card 5541","2000.00","debit","Credit Card Payment","CD","",""
